customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00014,Female,1,Yes,Yes,46,No,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,53.7,2470.2,Yes
CUST00015,Male,1,Yes,Yes,29,Yes,No,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,No,Bank transfer,82.86,2402.94,No
CUST00016,Female,0,No,Yes,16,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Bank transfer,80.41,1286.56,No
CUST00017,Female,0,Yes,No,5,No,No,DSL,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,72.88,364.4,No
CUST00018,Female,0,No,Yes,5,Yes,No,No,No internet service,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Electronic check,56.43,282.15,No
CUST00019,Male,0,Yes,No,30,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,62.76,1882.8,Yes
CUST00020,Female,0,Yes,Yes,50,No,No,DSL,No,No internet service,Yes,No,No internet service,No,One year,No,Mailed check,99.25,4962.5,No
CUST00021,Male,0,Yes,Yes,5,Yes,Yes,No,Yes,No internet service,No,No,No internet service,No internet service,One year,No,Credit card,80.92,404.6,No
CUST00022,Female,0,No,Yes,13,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Two year,No,Credit card,91.63,1191.19,No
CUST00023,Female,0,Yes,No,49,Yes,No,No,No internet service,No,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card,47.67,2335.83,No
CUST00024,Female,0,Yes,Yes,50,Yes,No phone service,No,Yes,No internet service,No,Yes,No,No,Two year,No,Credit card,111.15,5557.5,No
CUST00025,Female,0,Yes,Yes,14,Yes,No phone service,No,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Electronic check,23.52,329.28,No
CUST00026,Female,1,Yes,No,46,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Mailed check,79.57,3660.22,No
CUST00027,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card,101.24,3442.16,No
CUST00028,Female,1,Yes,No,71,Yes,No phone service,DSL,No internet service,Yes,No,No,No,Yes,One year,No,Credit card,106.63,7570.73,No
CUST00029,Female,0,Yes,Yes,47,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No,Two year,No,Electronic check,51.96,2442.12,No
CUST00030,Male,0,Yes,Yes,60,No,No phone service,DSL,Yes,No internet service,Yes,No,No internet service,Yes,Two year,Yes,Bank transfer,65.98,3958.8,Yes
CUST00031,Male,0,Yes,Yes,11,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,Bank transfer,23.49,258.39,No
CUST00032,Female,0,No,No,50,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,One year,Yes,Credit card,98.98,4949.0,No
CUST00033,Female,0,Yes,Yes,4,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,32.46,129.84,Yes
CUST00034,Female,0,No,Yes,41,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,62.81,2575.21,Yes
CUST00035,Male,0,No,Yes,59,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,119.08,7025.72,No
CUST00036,Female,0,No,No,60,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,111.77,6706.2,Yes
CUST00037,Male,0,Yes,No,62,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,53.0,3286.0,No
CUST00038,Male,0,No,No,25,No,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,42.39,1059.75,No
CUST00039,Male,0,No,No,33,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Electronic check,45.17,1490.61,No
CUST00040,Male,0,No,No,19,No,No phone service,No,Yes,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,88.48,1681.12,No
CUST00041,Male,1,Yes,No,57,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,Yes,One year,No,Bank transfer,92.58,5277.06,Yes
CUST00042,Female,0,No,Yes,15,No,No phone service,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,41.65,624.75,No
CUST00043,Female,0,Yes,Yes,41,No,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,44.0,1804.0,No
CUST00044,Female,1,No,Yes,69,No,No,No,No,No internet service,Yes,No,No,Yes,One year,Yes,Electronic check,52.34,3611.46,No
CUST00045,Female,0,No,Yes,60,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,63.32,3799.2,No
CUST00046,Female,0,Yes,Yes,22,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,One year,Yes,Mailed check,111.75,2458.5,Yes
CUST00047,Male,0,Yes,No,43,Yes,No phone service,No,No internet service,No,No,No,No,Yes,Month-to-month,No,Credit card,22.65,973.95,No
CUST00048,Female,0,No,No,32,No,No phone service,No,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,83.82,2682.24,No
CUST00049,Female,0,No,No,13,Yes,No phone service,DSL,No,No,No internet service,No,No,No,Month-to-month,No,Electronic check,106.17,1380.21,No
CUST00050,Male,1,No,Yes,38,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,92.34,3508.92,No
CUST00051,Female,0,Yes,No,26,No,No,No,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card,41.67,1083.42,Yes
CUST00052,Male,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,67.67,338.35,Yes
CUST00053,Female,0,No,No,49,No,Yes,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,No,Bank transfer,111.03,5440.47,No
CUST00054,Male,0,No,Yes,5,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,31.57,157.85,No
CUST00055,Female,0,Yes,No,71,No,Yes,DSL,No,Yes,No internet service,No internet service,No,No,Two year,No,Credit card,118.75,8431.25,Yes
CUST00056,Female,0,Yes,Yes,48,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,No,Two year,Yes,Bank transfer,34.36,1649.28,Yes
CUST00057,Male,0,No,No,18,No,Yes,No,No,No internet service,No,Yes,Yes,Yes,Two year,Yes,Mailed check,34.24,616.32,No
CUST00058,Male,0,Yes,Yes,6,No,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,One year,Yes,Electronic check,101.29,607.74,No
CUST00059,Male,0,No,No,66,No,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer,102.83,6786.78,Yes
CUST00060,Male,0,Yes,Yes,42,No,Yes,No,No,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer,23.79,999.18,Yes
CUST00061,Male,1,No,Yes,52,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No,No internet service,One year,Yes,Mailed check,36.83,1915.16,No
CUST00062,Male,0,No,Yes,11,Yes,Yes,No,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,114.85,1263.35,Yes
CUST00063,Male,0,No,Yes,26,No,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No internet service,Two year,No,Credit card,47.93,1246.18,No
CUST00064,Male,0,Yes,No,21,Yes,No phone service,No,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,21.22,445.62,Yes
CUST00065,Female,0,No,No,66,Yes,No,DSL,Yes,No,No,Yes,No internet service,Yes,One year,No,Mailed check,45.4,2996.4,No
CUST00066,Female,0,No,No,40,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Two year,No,Mailed check,93.54,3741.6,No
CUST00067,Male,0,Yes,Yes,56,No,No phone service,No,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,111.65,6252.4,Yes
CUST00068,Female,0,No,No,51,Yes,No,Fiber optic,No internet service,No,No,No,No,No internet service,One year,Yes,Electronic check,35.52,1811.52,Yes
CUST00069,Female,1,No,Yes,20,No,No phone service,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,Yes,Mailed check,42.44,848.8,No
CUST00070,Female,0,No,No,57,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer,64.15,3656.55,No
CUST00071,Female,0,Yes,Yes,5,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,One year,Yes,Bank transfer,94.83,474.15,No
CUST00072,Male,1,Yes,No,14,No,No,No,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card,85.87,1202.18,No
CUST00073,Female,1,Yes,Yes,24,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,No,Bank transfer,52.75,1266.0,No
CUST00074,Male,1,Yes,Yes,68,No,No,No,Yes,Yes,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,26.64,1811.52,Yes
CUST00075,Female,0,No,No,52,Yes,No,No,No,Yes,No,Yes,No internet service,Yes,One year,No,Mailed check,45.3,2355.6,Yes
CUST00076,Female,0,Yes,No,48,No,No phone service,DSL,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,41.96,2014.08,Yes
CUST00077,Female,0,Yes,No,47,No,Yes,No,Yes,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,22.11,1039.17,No
CUST00078,Male,0,Yes,Yes,60,Yes,No phone service,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer,117.5,7050.0,No
CUST00079,Female,0,No,Yes,3,No,Yes,DSL,Yes,No,No,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,45.54,136.62,Yes
CUST00080,Male,0,No,Yes,9,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Credit card,103.65,932.85,Yes
CUST00081,Female,1,No,No,24,Yes,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer,68.49,1643.76,No
CUST00082,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer,117.23,468.92,Yes
CUST00083,Female,1,No,No,9,No,Yes,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Mailed check,34.96,314.64,Yes
CUST00084,Male,0,No,Yes,1,Yes,No,No,No,Yes,No,No,No internet service,No internet service,Two year,No,Credit card,31.07,31.07,Yes
CUST00085,Male,0,Yes,No,35,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,One year,No,Mailed check,20.25,708.75,No
CUST00086,Female,0,No,Yes,12,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card,91.84,1102.08,No
CUST00087,Male,0,Yes,Yes,18,Yes,No,No,Yes,Yes,No,No internet service,No,No internet service,Two year,No,Credit card,50.64,911.52,Yes
CUST00088,Female,0,Yes,No,10,No,Yes,No,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Mailed check,107.04,1070.4,No
CUST00089,Female,0,No,Yes,18,No,Yes,No,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer,83.38,1500.84,Yes
CUST00090,Female,1,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Electronic check,77.74,1865.76,No
CUST00091,Female,0,Yes,No,1,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Bank transfer,68.69,68.69,Yes
CUST00092,Female,0,Yes,Yes,72,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,45.82,3299.04,No
CUST00093,Female,0,Yes,No,16,Yes,Yes,No,No,Yes,Yes,No,No,No internet service,Two year,No,Credit card,26.47,423.52,No
CUST00094,Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Credit card,64.36,965.4,Yes
CUST00095,Female,0,Yes,Yes,62,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No internet service,Two year,No,Bank transfer,29.91,1854.42,Yes
CUST00096,Female,0,No,Yes,5,No,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Two year,No,Electronic check,110.57,552.85,Yes
CUST00097,Female,0,Yes,Yes,45,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,102.93,4631.85,No
CUST00098,Female,0,Yes,No,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,Two year,Yes,Credit card,81.98,4262.96,No
CUST00099,Male,0,Yes,Yes,71,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,No,Mailed check,65.24,4632.04,No
CUST00100,Male,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer,65.42,457.94,No
CUST00101,Female,0,No,Yes,27,Yes,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card,66.45,1794.15,No
CUST00102,Female,0,No,Yes,13,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Credit card,94.55,1229.15,No
CUST00103,Female,0,Yes,No,17,No,No,No,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Credit card,32.62,554.54,No
CUST00104,Female,0,No,Yes,44,No,Yes,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Mailed check,73.13,3217.72,No
CUST00105,Female,0,Yes,Yes,13,Yes,No phone service,No,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,101.27,1316.51,No
CUST00106,Female,1,Yes,Yes,5,No,Yes,Fiber optic,No,No internet service,Yes,No,No,No,One year,Yes,Credit card,71.01,355.05,No
CUST00107,Female,0,Yes,Yes,33,Yes,No,No,No internet service,Yes,No,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,21.37,705.21,No
CUST00108,Female,1,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,Yes,Bank transfer,44.47,177.88,No
CUST00109,Male,1,No,No,26,Yes,No phone service,No,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,86.86,2258.36,No
CUST00110,Female,0,No,Yes,68,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Bank transfer,113.42,7712.56,No
CUST00111,Male,0,Yes,No,16,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,109.37,1749.92,Yes
CUST00112,Female,0,Yes,Yes,22,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,Yes,Yes,Month-to-month,No,Mailed check,102.27,2249.94,Yes
CUST00113,Female,0,No,Yes,36,No,No phone service,No,No internet service,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,115.02,4140.72,No
CUST00114,Male,0,No,No,58,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Two year,No,Credit card,47.99,2783.42,No
CUST00115,Female,0,Yes,Yes,55,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,21.24,1168.2,Yes
CUST00116,Male,0,No,Yes,35,No,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer,55.44,1940.4,No
CUST00117,Female,1,Yes,No,25,Yes,No,No,No,Yes,No internet service,Yes,No,Yes,One year,No,Electronic check,77.7,1942.5,No
CUST00118,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No,Yes,One year,No,Bank transfer,51.65,3718.8,No
CUST00119,Male,0,No,Yes,61,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,24.42,1489.62,Yes
CUST00120,Female,0,No,No,18,No,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,One year,No,Credit card,70.72,1272.96,No
CUST00121,Male,0,No,No,58,No,No,DSL,No internet service,Yes,No,Yes,No,No internet service,One year,Yes,Credit card,39.97,2318.26,No
CUST00122,Female,0,Yes,No,57,Yes,No,No,No,No internet service,Yes,Yes,No internet service,No,One year,No,Electronic check,92.76,5287.32,No
CUST00123,Male,1,Yes,No,63,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Bank transfer,28.92,1821.96,No
CUST00124,Male,0,No,Yes,12,No,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer,115.81,1389.72,Yes
CUST00125,Female,0,Yes,Yes,11,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,107.67,1184.37,Yes
CUST00126,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No internet service,No internet service,One year,No,Bank transfer,107.39,1396.07,No
CUST00127,Male,1,No,Yes,35,Yes,Yes,No,No,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,98.99,3464.65,No
CUST00128,Female,0,Yes,No,27,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,83.36,2250.72,Yes
CUST00129,Female,0,Yes,Yes,67,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,25.34,1697.78,No
CUST00130,Female,0,Yes,Yes,45,Yes,No,No,Yes,No internet service,No,No internet service,No,No,Two year,No,Electronic check,86.24,3880.8,No
CUST00131,Male,0,No,No,67,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer,94.69,6344.23,No
CUST00132,Male,0,Yes,No,22,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,No,Two year,No,Electronic check,33.08,727.76,No
CUST00133,Male,0,Yes,Yes,42,No,No phone service,Fiber optic,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,81.58,3426.36,No
CUST00134,Male,0,Yes,Yes,20,No,No phone service,Fiber optic,Yes,No internet service,Yes,No,No,No internet service,One year,No,Mailed check,67.89,1357.8,No
CUST00135,Male,0,Yes,Yes,48,No,No,DSL,Yes,No,No internet service,No,No,Yes,Month-to-month,No,Mailed check,67.24,3227.52,No
CUST00136,Male,1,No,No,18,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No internet service,Two year,No,Electronic check,39.95,719.1,No
CUST00137,Male,0,No,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,One year,No,Mailed check,93.94,6575.8,No
CUST00138,Male,0,No,No,6,Yes,No phone service,No,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,112.51,675.06,Yes
CUST00139,Male,0,No,No,39,No,No,No,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Mailed check,98.78,3852.42,No
CUST00140,Female,0,No,No,11,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,56.9,625.9,Yes
CUST00141,Male,1,No,Yes,25,Yes,Yes,DSL,Yes,No internet service,No,Yes,No internet service,No internet service,Two year,Yes,Credit card,118.42,2960.5,Yes
CUST00142,Female,0,No,No,55,Yes,Yes,No,No,Yes,No internet service,Yes,No,No,One year,Yes,Bank transfer,56.42,3103.1,Yes
CUST00143,Female,0,Yes,Yes,58,No,No,DSL,No,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,43.44,2519.52,No
CUST00144,Female,0,No,No,37,Yes,No,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,No,Bank transfer,116.81,4321.97,Yes
CUST00145,Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,One year,No,Bank transfer,98.98,1583.68,Yes
CUST00146,Male,0,No,Yes,70,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,96.12,6728.4,No
CUST00147,Male,0,No,No,37,No,No,No,No internet service,No,Yes,No,No,No,One year,Yes,Bank transfer,27.74,1026.38,No
CUST00148,Male,0,Yes,No,53,Yes,No phone service,No,No,No internet service,Yes,No internet service,No internet service,Yes,Two year,No,Credit card,39.2,2077.6,No
CUST00149,Female,1,No,Yes,16,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer,21.85,349.6,No
CUST00150,Male,0,No,Yes,18,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,One year,No,Bank transfer,97.66,1757.88,Yes
CUST00151,Male,0,Yes,No,19,No,No phone service,No,No,No,No,No internet service,No,No,One year,No,Bank transfer,47.82,908.58,Yes
CUST00152,Male,1,No,No,44,No,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,33.22,1461.68,No
CUST00153,Male,0,No,Yes,2,No,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,38.19,76.38,Yes
CUST00154,Male,0,No,Yes,58,Yes,No phone service,No,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card,84.11,4878.38,No
CUST00155,Female,0,No,No,10,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Month-to-month,No,Bank transfer,63.31,633.1,Yes
CUST00156,Male,0,No,Yes,46,Yes,No phone service,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,114.14,5250.44,Yes
CUST00157,Female,0,No,No,19,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,No,Electronic check,56.59,1075.21,No
CUST00158,Male,0,No,No,38,No,Yes,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Electronic check,103.39,3928.82,No
CUST00159,Female,1,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No,Yes,No internet service,Two year,No,Mailed check,74.65,2762.05,No
CUST00160,Male,0,Yes,No,45,No,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,90.53,4073.85,No
CUST00161,Male,0,No,Yes,34,No,No,No,No,No internet service,No,Yes,No internet service,No internet service,One year,No,Credit card,36.87,1253.58,No
CUST00162,Female,0,Yes,No,2,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,94.9,189.8,No
CUST00163,Female,0,No,No,44,No,No phone service,No,Yes,No internet service,No,No,Yes,No,Two year,No,Bank transfer,28.57,1257.08,No
CUST00164,Female,0,Yes,Yes,27,Yes,No,No,Yes,No,Yes,No,No,No internet service,Two year,Yes,Credit card,89.11,2405.97,No
CUST00165,Male,0,No,Yes,48,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,Yes,One year,No,Mailed check,66.55,3194.4,No
CUST00166,Female,1,Yes,No,7,No,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,42.85,299.95,No
CUST00167,Male,0,No,No,27,Yes,Yes,No,No internet service,No,No,Yes,Yes,Yes,Two year,No,Bank transfer,68.04,1837.08,Yes
CUST00168,Male,0,Yes,No,71,No,Yes,Fiber optic,No,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,105.57,7495.47,No
CUST00169,Female,0,Yes,No,18,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,Yes,One year,Yes,Bank transfer,35.47,638.46,No
CUST00170,Female,0,No,No,33,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer,36.96,1219.68,No
CUST00171,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,No,Electronic check,73.4,2422.2,No
CUST00172,Male,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,Yes,One year,No,Credit card,82.53,2063.25,No
CUST00173,Female,0,Yes,Yes,14,Yes,No phone service,DSL,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,62.02,868.28,No
CUST00174,Female,0,No,No,38,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Mailed check,46.64,1772.32,No
CUST00175,Female,0,Yes,Yes,38,Yes,No,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,26.72,1015.36,Yes
CUST00176,Male,0,No,Yes,4,No,Yes,No,No internet service,No,No,No internet service,Yes,No,Two year,No,Mailed check,24.98,99.92,No
